,model,climatology,bss
2000,0.20412018448692512,0.2087088441228396,0.021985937659708132
2001,0.08880766146071084,0.11210875817932901,0.207843678736908
2002,0.7248994432380721,0.5885320792042745,-0.2317076143379868
2003,0.021184391684012586,0.046896556556686474,0.5482740474046142
2004,0.40045899158681986,0.41219296727604077,0.028467190419973365
2005,0.5841899771705217,0.5341852514055816,-0.09360933427750862
2006,0.23671941099028357,0.2459664566069044,0.03759474256849238
2007,0.38793998234888555,0.35880641038983185,-0.0811957956029854
2008,0.26703226156443216,0.25908576701015,-0.03067128945748232
2009,0.45354656877834293,0.399747730808865,-0.13458197213682555
2010,0.035585071793737794,0.046896556556686474,0.2412007531784527
2011,0.2110394412140321,0.20940006370868466,-0.00782892553284098
2012,0.4102542373414155,0.37686182647234834,-0.08860650913264423
2013,0.16897639208607487,0.17422499769647037,0.030125445141571894
2014,0.26753727388080006,0.2598746432266597,-0.029485872723092443
2015,0.5587136259762239,0.584672399543463,0.044398835292223104
2016,0.20855903962354894,0.2303709786405413,0.09468180039737795
2017,0.2556887239533315,0.21503094608544837,-0.18907872847160623
2018,0.2376544513689775,0.19664461766978525,-0.2085479591821724
2019,0.5384331418576485,0.4643035463463241,-0.1596576121260791
