,model,climatology,bss
2000,0.3287439137228536,0.3503165971468015,0.06158053486374726
2001,0.12057166233964156,0.10270138008274828,-0.1740023575388654
2002,0.6160396572499127,0.5879053566947345,-0.04785515259352646
2003,0.006705261243577481,0.03331221050414231,0.7987146111860787
2004,0.2913742009895114,0.36495988699178794,0.2016267776955234
2005,0.38250649962497996,0.3504105095968195,-0.091595397823798
2006,0.43312818920999274,0.41926405754027907,-0.03306778012656553
2007,0.16470804511068135,0.15652198933718986,-0.05229971717172943
2008,0.31734208571304795,0.2944772511282258,-0.07764550401506565
2009,0.4684910834876763,0.44523424616974744,-0.05223505945017104
2010,0.009855691857632996,0.03331221050414231,0.7041417633811045
2011,0.09620642143790327,0.10094762768948103,0.04696699031067775
2012,0.03374183659127989,0.033592135272385394,-0.004456439511231647
2013,0.16413902116118467,0.1757907751872447,0.06628194234679885
2014,0.2340627620339679,0.2393642708325563,0.022148287963565716
2015,0.5610074769078496,0.5175946544099876,-0.08387417089411153
2016,0.08946379669457857,0.10412546434297247,0.14080770482905824
2017,0.1867872170176016,0.16469074231041153,-0.13416950095192548
2018,0.021626659554719697,0.03331221050414231,0.35078881805125295
2019,0.6424179593828575,0.6327984218052141,-0.015201582757114585
