,model,climatology,bss
2000,0.3809383808335592,0.4081984500151147,0.06678141276760385
2001,0.01317215895018033,0.03853450362476019,0.658172346568995
2002,0.04529736940172881,0.03853450362476019,-0.17550156718829935
2003,0.024230801752004764,0.03853450362476019,0.3711920623667938
2004,0.40564551861131104,0.38626258165455196,-0.050180726472992765
2005,0.6781071649457264,0.5924338333450562,-0.14461248966307916
2006,0.4420394005061348,0.42502774954717404,-0.04002480067968506
2007,0.27712020994005143,0.2526488366378475,-0.0968592360363083
2008,0.5555727902289773,0.4941478511489277,-0.1243047782910165
2009,0.46014320583323787,0.5860051897760449,0.2147796404173622
2010,0.06610429549255367,0.03853450362476019,-0.7154572986397214
2011,0.11879660422123228,0.15689648369910292,0.24283450195696432
2012,0.15375612689539506,0.037735945152812554,-3.074526986743175
2013,0.28327560799321844,0.28787199182018935,0.015966762858409367
2014,0.3927177268453095,0.39912560919948464,0.016054801311865874
2015,0.6159248310574069,0.6004685557203112,-0.025740357575517958
2016,0.054207969632307215,0.037735945152812554,-0.43650753711854384
2017,0.06995663758501876,0.03853450362476019,-0.8154285381807382
2018,0.14460916114585914,0.03853450362476019,-2.7527189283149633
2019,0.6358754023486338,0.43630873279912785,-0.4573978344856655
